src_port,dst_port,proto,pktTotalCount,octetTotalCount,avg_ps,std_dev_ps,flowDuration,avg_piat,std_dev_piat
443,46608,17,49,8837,180.3469387755102,121.32778187164806,27.762276,0.57838075,1.05201432522662
46608,443,17,31,6184,199.48387096774192,245.5937993027987,27.777219,0.9259073,1.213024823768751
45100,443,17,32,14451,451.59375,495.27422072114507,0.775274,0.025008838709677416,0.07456182242732311
443,45100,17,45,40548,901.0666666666667,534.3819857243194,0.587167,0.013344704545454545,0.04840002559333449
52741,53,17,1,86,86.0,0.0,0,0.0,0.0
53,52741,17,1,102,102.0,0.0,0,0.0,0.0
54016,53,17,1,90,90.0,0.0,0,0.0,0.0
35771,443,17,16,8726,545.375,565.1330457290567,0.350865,0.023391,0.03131686521987793
53,54016,17,1,140,140.0,0.0,0,0.0,0.0
443,35771,17,19,8117,427.2105263157895,490.02272546091586,0.284539,0.015807722222222223,0.02245287775865405
59862,443,17,14,10604,757.4285714285714,564.936369904449,0.230976,0.017767384615384615,0.03484575564825973
443,59862,17,17,6860,403.52941176470586,470.9780958622247,0.230212,0.01438825,0.02027990938558405
43880,53,17,1,110,110.0,0.0,0,0.0,0.0
38342,443,17,14,8683,620.2142857142857,545.3557395435215,11.917769,0.9167514615384617,2.8017313614201713
51416,443,6,8,3870,483.75,726.054706960846,0.786088,0.11229828571428571,0.2187248075280993
53,43880,17,1,203,203.0,0.0,0,0.0,0.0
443,38342,17,14,6532,466.57142857142856,472.64192339984197,11.950545,0.9192726923076923,2.8009307783277606
443,51416,6,9,2623,291.44444444444446,505.7283221280663,0.778096,0.09726199999999999,0.19570281629488628
48962,443,17,186,65787,353.69354838709677,452.9783014353777,20.271623,0.10957634054054054,0.6798663503729107
44178,443,6,10,3966,396.6,651.8601383732556,0.965747,0.10730522222222222,0.16859679580175088
443,48962,17,400,386540,966.35,515.0457285523296,20.223778,0.0506861604010025,0.46770627778154217
443,44178,6,10,2709,270.9,379.4149311769372,0.911418,0.10126866666666666,0.1619714641019625
50456,443,6,1,86,86.0,0.0,0,0.0,0.0
443,50456,6,1,86,86.0,0.0,0,0.0,0.0
46166,53,17,1,82,82.0,0.0,0,0.0,0.0
45346,53,17,1,82,82.0,0.0,0,0.0,0.0
53,46166,17,1,194,194.0,0.0,0,0.0,0.0
53,45346,17,1,139,139.0,0.0,0,0.0,0.0
45323,443,17,72,12235,169.93055555555554,210.24075659354133,7.046745,0.09924992957746478,0.4676569045895019
48710,53,17,1,91,91.0,0.0,0,0.0,0.0
443,45323,17,139,150615,1083.5611510791366,433.0771296401832,7.055536,0.05112707246376812,0.3448854738689444
53,48710,17,1,107,107.0,0.0,0,0.0,0.0
55015,443,17,10,1164,116.4,35.2794557781154,13.421199,1.4912443333333334,2.476662163676526
443,55015,17,11,4552,413.8181818181818,405.58954132602815,13.414728,1.3414728,2.393765989584437
41569,53,17,1,84,84.0,0.0,0,0.0,0.0
53,41569,17,1,145,145.0,0.0,0,0.0,0.0
43008,443,6,1,86,86.0,0.0,0,0.0,0.0
37636,443,6,1,86,86.0,0.0,0,0.0,0.0
443,37636,6,1,86,86.0,0.0,0,0.0,0.0
443,43008,6,1,86,86.0,0.0,0,0.0,0.0
36738,53,17,1,105,105.0,0.0,0,0.0,0.0
53,36738,17,1,152,152.0,0.0,0,0.0,0.0
47184,53,17,1,103,103.0,0.0,0,0.0,0.0
