src_port,dst_port,proto,pktTotalCount,octetTotalCount,avg_ps,std_dev_ps,flowDuration,avg_piat,std_dev_piat
53,52741,17,2,188,94.0,8.0,0.027886,0.027886,0.0
53,54016,17,2,230,115.0,25.0,0.034452,0.034452,0.0
53,43880,17,2,313,156.5,46.5,0.033449,0.033449,0.0
53,46166,17,2,276,138.0,56.0,0.032493,0.032493,0.0
53,45346,17,2,221,110.5,28.5,0.037810,0.03781,0.0
53,48710,17,2,198,99.0,8.0,0.038756,0.038756,0.0
53,41569,17,2,229,114.5,30.5,0.024877,0.024877,0.0
53,36738,17,2,257,128.5,23.5,0.052960,0.05296,0.0
53,47184,17,2,263,131.5,28.5,0.029917,0.029917,0.0
53,59438,17,2,229,114.5,28.5,0.033379,0.033379,0.0
53,54733,17,2,238,119.0,28.0,0.039177,0.039177,0.0
53,41196,17,2,226,113.0,22.0,0.039928,0.039928,0.0
53,44982,17,2,260,130.0,39.0,0.036564,0.036564,0.0
53,36579,17,2,226,113.0,25.0,0.025992,0.025992,0.0
52450,443,6,3,250,83.33333333333333,12.364824660660938,0.021416,0.010707999999999999,0.010525
52456,443,6,3,250,83.33333333333333,12.364824660660938,0.045185,0.0225925,0.0223765
